datetime,longitude,latitude,depth_m,wave_height_m,wave_direction_deg,wave_period_s,wave_peak_period_s,sea_surface_temperature_c,air_temperature_c,wind_speed_kmh,wind_direction_deg,cloud_cover_pct,humidity_pct,moon_phase,turbidity_ntu,salinity_psu,sensor_temp_c,sensor_status
2023-07-19 00:00:00,1.75257,41.18212,20.0,0.32,120.0,3.85,1.0,27.1,23.6,2.9,330.0,0.0,77.0,0.0845277777777777,2.9448503935144634,37.02641696859317,27.08524944348061,0
2023-07-19 01:00:00,1.75257,41.18212,20.0,0.32,120.0,3.85,1.0,27.1,23.6,2.9,330.0,0.0,77.0,0.0845277777777777,3.6219183052180473,37.017272457847504,27.158751447150628,0
2023-07-19 02:00:00,1.75257,41.18212,20.0,0.32,120.0,3.85,1.0,27.1,23.6,2.9,330.0,0.0,77.0,0.0845277777777777,3.6716906600453005,36.93939244633278,26.901421786717247,0
2023-07-19 03:00:00,1.75257,41.18212,20.0,0.32,120.0,3.85,1.0,27.1,23.6,2.9,330.0,0.0,77.0,0.0845277777777777,1.4914722609854476,36.936489258754065,27.12969619313042,0
2023-07-19 04:00:00,1.75257,41.18212,20.0,0.32,120.0,3.85,1.0,27.1,23.6,2.9,330.0,0.0,77.0,0.0845277777777777,3.418979178108482,36.97408233483529,27.2531003018898,0
2023-07-19 05:00:00,1.75257,41.18212,20.0,0.32,120.0,3.85,1.0,27.1,23.6,2.9,330.0,0.0,77.0,0.0845277777777777,1.256444053884396,37.0373886548656,27.3605329964863,0
2023-07-19 06:00:00,1.75257,41.18212,20.0,0.32,120.0,3.85,1.0,27.1,23.6,2.9,330.0,0.0,77.0,0.0845277777777777,1.7562285136590792,36.90166973354306,27.269330861944592,0
2023-07-19 07:00:00,1.75257,41.18212,20.0,0.32,120.0,3.85,1.0,27.1,23.6,2.9,330.0,0.0,77.0,0.0845277777777777,1.901759628644436,36.95378300072589,27.151741905017655,0
2023-07-19 08:00:00,1.75257,41.18212,20.0,0.32,120.0,3.85,1.0,27.1,23.6,2.9,330.0,0.0,77.0,0.0845277777777777,1.6866791556474052,36.892178862539176,27.22654921367542,0
2023-07-19 09:00:00,1.75257,41.18212,20.0,0.32,120.0,3.85,1.0,27.1,23.6,2.9,330.0,0.0,77.0,0.0845277777777777,1.3051243928369656,37.05360637631363,27.16443889524535,0
2023-07-19 10:00:00,1.75257,41.18212,20.0,0.32,120.0,3.85,1.0,27.1,23.6,2.9,330.0,0.0,77.0,0.0845277777777777,5.184566363802947,37.12277160130281,26.86532695607242,0
2023-07-19 11:00:00,1.75257,41.18212,20.0,0.32,120.0,3.85,1.0,27.1,23.6,2.9,330.0,0.0,77.0,0.0845277777777777,0.26996421512312274,37.0509642761188,27.116053118984862,0
2023-07-19 12:00:00,1.75257,41.18212,20.0,0.32,120.0,3.85,1.0,27.1,23.6,2.9,330.0,0.0,77.0,0.0845277777777777,1.0431512407989583,37.06483436603709,27.072965108074683,0
2023-07-19 13:00:00,1.75257,41.18212,20.0,0.32,120.0,3.85,1.0,27.1,23.6,2.9,330.0,0.0,77.0,0.0845277777777777,2.4382891158875957,37.138523331717,26.771730601824927,0
2023-07-19 14:00:00,1.75257,41.18212,20.0,0.32,120.0,3.85,1.0,27.1,23.6,2.9,330.0,0.0,77.0,0.0845277777777777,3.6773334357784204,37.0396658373783,27.286308984177996,0
2023-07-19 15:00:00,1.75257,41.18212,20.0,0.32,120.0,3.85,1.0,27.1,23.6,2.9,330.0,0.0,77.0,0.0845277777777777,2.5532789827407045,36.98816723119964,26.7775052436758,0
2023-07-19 16:00:00,1.75257,41.18212,20.0,0.32,120.0,3.85,1.0,27.1,23.6,2.9,330.0,0.0,77.0,0.0845277777777777,4.040155957313637,36.98717721657284,27.01546522823977,0
2023-07-19 17:00:00,1.75257,41.18212,20.0,0.32,120.0,3.85,1.0,27.1,23.6,2.9,330.0,0.0,77.0,0.0845277777777777,1.9163108591436921,36.919224459370625,27.048656966871278,0
2023-07-19 18:00:00,1.75257,41.18212,20.0,0.32,120.0,3.85,1.0,27.1,23.6,2.9,330.0,0.0,77.0,0.0845277777777777,2.014353363858352,36.85242033114567,27.179474171337066,0
2023-07-19 19:00:00,1.75257,41.18212,20.0,0.32,120.0,3.85,1.0,27.1,23.6,2.9,330.0,0.0,77.0,0.0845277777777777,2.815666847305849,37.1663738178378,27.066116656574884,0
2023-07-19 20:00:00,1.75257,41.18212,20.0,0.32,120.0,3.85,1.0,27.1,23.6,2.9,330.0,0.0,77.0,0.0845277777777777,0.05,36.97467701331346,27.10101774067177,0
2023-07-19 21:00:00,1.75257,41.18212,20.0,0.32,120.0,3.85,1.0,27.1,23.6,2.9,330.0,0.0,77.0,0.0845277777777777,0.3939748112682251,37.08035023905667,27.041155242706978,0
2023-07-19 22:00:00,1.75257,41.18212,20.0,0.32,120.0,3.85,1.0,27.1,23.6,2.9,330.0,0.0,77.0,0.0845277777777777,1.8184768101220543,37.05026495205917,26.905092045299703,0
2023-07-19 23:00:00,1.75257,41.18212,20.0,0.32,120.0,3.85,1.0,27.1,23.6,2.9,330.0,0.0,77.0,0.0845277777777777,1.8332248357224636,36.95770618986945,27.130257896041517,0
